,Request Number,Docket Record Name,Organization Name, Grant Amount , Amount (Fund-Coding) ,Budget Area/Strategy/Portfolio,Grant Purpose,Award Date,Fund Name,Award Year,Department
,22-34769,"22-34769 - Massachusetts Immigrant and Refugee Advocacy Coalition, Inc.","Massachusetts Immigrant and Refugee Advocacy Coalition, Inc.","$300,000.00","$300,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,3/29/2022,Grants,2022,SpecialInit
,22-34774,"22-34774 - Rian Immigrant Center, Inc.","Rian Immigrant Center, Inc.","$300,000.00","$300,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,3/29/2022,Grants,2022,SpecialInit
,22-35021,"22-35021 - Urban Revival, Inc. dba City Life/Vida Urbana","Urban Revival, Inc. dba City Life/Vida Urbana","$300,000.00","$300,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,7/21/2022,Grants,2022,SpecialInit
,22-35078,"22-35078 - The American City Coalition, Inc.","The American City Coalition, Inc.","$300,000.00","$300,000.00",Waterfront - Special Initiatives/Waterfront,To support its Waterways: Connecting Residents of Roxbury and Dorchester to Boston's Waterfront work,9/28/2022,Grants,2022,Waterfront
,23-35829,"23-35829 - Peabody Essex Museum, Inc.","Peabody Essex Museum, Inc.","$300,000.00","$300,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35837,"23-35837 - American Repertory Theatre Company, Inc.","American Repertory Theatre Company, Inc.","$300,000.00","$300,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35835,23-35835 - Institute of Contemporary Art,Institute of Contemporary Art,"$300,000.00","$300,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35836,"23-35836 - Isabella Stewart Gardner Museum, Inc.","Isabella Stewart Gardner Museum, Inc.","$300,000.00","$300,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/28/2023,Grants,2023,Arts
,23-35552,23-35552 - Building Electrification Institute,Building Electrification Institute,"$300,000.00","$300,000.00",Climate/Clean Energy,To support equitable electrification in Burlington and the state of Vermont,6/30/2023,Grants,2023,Climate
,22-35283,22-35283 - Regulatory Assistance Project,Regulatory Assistance Project,"$300,000.00","$300,000.00",Climate/Clean Energy,To support clean energy regulatory work in New England,1/31/2023,Grants,2023,Climate
,23-35676,23-35676 - Communities First Fund,Communities First Fund,"$300,000.00","$300,000.00",Climate/Climate (Top Level),"to support regional convenings of federal, state, philanthropic and local leaders on equitable implementation of federal funding",7/21/2023,Grants,2023,Climate
,23-35615,23-35615 - State Smart Transportation Initiative,State Smart Transportation Initiative,"$300,000.00","$300,000.00",Climate/Mobility,To advance State Smart Transportation Initiative's convening and research in transportation,9/26/2023,Grants,2023,Climate
,23-35556,23-35556 - Campaign for Our Shared Future,Campaign for Our Shared Future,"$300,000.00","$300,000.00",Education/Building Public Will,To provide core support for the Campaign for Our Shared Future,6/30/2023,Grants,2023,Education
,23-35634,23-35634 - Lowell Public Schools,Lowell Public Schools,"$300,000.00","$300,000.00",Education/New Models,to continue the design and early implementation of a reimagined high school experience in alignment with the Portrait of a Graduate,7/21/2023,Grants,2023,Education
,23-35687,23-35687 - He Is Me Institute,He Is Me Institute,"$300,000.00","$300,000.00",Education/Invest In Educators,To support general operations,9/26/2023,Grants,2023,Education
,23-35831,"23-35831 - Union Capital Boston, Inc.","Union Capital Boston, Inc.","$300,000.00","$300,000.00",Education/Building Public Will,To support general operations,10/31/2023,Grants,2023,Education
,23-35879,"23-35879 - FaithActs for Education, Inc.","FaithActs for Education, Inc.","$300,000.00","$300,000.00",Education/Building Public Will,To support general operations,11/29/2023,Grants,2023,Education
,23-35883,23-35883 - Roger Williams University,Roger Williams University,"$300,000.00","$300,000.00",Education/Building Public Will,To support the next phase of The Center for Youth and Community Leadership in Education?s CYCLE Strategy Institute (CSI),11/29/2023,Grants,2023,Education
,23-35956,23-35956 - Brown University of Providence State of RI and Prov Plantations,Brown University of Providence State of RI and Prov Plantations,"$300,000.00","$300,000.00",Education/Invest In Educators,To design and launch robust induction support partnerships and programming for recent MAT Program alumni in Rhode Island with aligned research to inform the initiative and the field,11/29/2023,Grants,2023,Education
,23-35968,23-35968 - Kreiva Academy Public Charter School,Kreiva Academy Public Charter School,"$300,000.00","$300,000.00",Education/New Models,to support the continued transformation efforts at Kreiva Academy,11/29/2023,Grants,2023,Education
,23-35233,23-35233 - Massachusetts Development Finance Agency,Massachusetts Development Finance Agency,"$300,000.00","$300,000.00",Racial Wealth Equity - Special Initiatives/Racial Wealth Equity,To support design and planning related to wealth equity initiatives,1/4/2023,Grants,2023,Racial Wealth Equity
,23-35462,"23-35462 - New England Blacks in Philanthropy, Inc.","New England Blacks in Philanthropy, Inc.","$300,000.00","$300,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,To provide general operating support,6/30/2023,Grants,2023,SectorEffect
,23-35706,"23-35706 - Center for Effective Philanthropy, Inc.","Center for Effective Philanthropy, Inc.","$300,000.00","$300,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector,To provide general operating support,9/26/2023,Grants,2023,SectorEffect
,23-35768,"23-35768 - Project Evident, Inc.","Project Evident, Inc.","$300,000.00","$300,000.00",Sector Effectiveness/Learning and Evaluation,To provide general operating support,10/31/2023,Grants,2023,SectorEffect
,21-09468,"21-09468 - Norman Rockwell Museum at Stockbridge, Inc.","Norman Rockwell Museum at Stockbridge, Inc.","$307,000.00","$307,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in Years 4-6 of the Barr Klarman Massachusetts Arts Initiative,8/31/2021,Grants,2021,Arts
,5650,5650 - Massachusetts Institute of Technology,Massachusetts Institute of Technology,"$309,717.34","$309,717.34",Climate/Mobility/Develop Low-Carbon Communities,Participatory Design of Bus Rapid Transit,12/3/2014,Grants,2014,Climate
,23-35838,"23-35838 - Massachusetts Museum of Contemporary Art Foundation, Inc.","Massachusetts Museum of Contemporary Art Foundation, Inc.","$310,000.00","$310,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35863,"23-35863 - Huntington Theatre Company, Inc.","Huntington Theatre Company, Inc.","$310,000.00","$310,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,21-09662,"21-09662 - Mount Wachusett Community College Foundation, Inc.","Mount Wachusett Community College Foundation, Inc.","$311,706.80","$311,706.80",Education/New Models,To advance the Portrait of a Graduate action plan,9/28/2021,Grants,2021,Education
,23-35458,"23-35458 - Connecticut Roundtable on Climate and Jobs, Inc.","Connecticut Roundtable on Climate and Jobs, Inc.","$315,000.00","$315,000.00",Climate/Clean Energy,to provide general operating support,5/2/2023,Grants,2023,Climate
,21-09486,"21-09486 - Friends of Veritas Preparatory Charter School, Inc.","Friends of Veritas Preparatory Charter School, Inc.","$319,850.00","$319,850.00",Education/New Models,To support the final design year and launch of Veritas High School,6/30/2021,Grants,2021,Education
,6497,6497 - Boston Planning and Development Agency,Boston Planning and Development Agency,"$320,000.00","$320,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To commission an engineering study of coordinated smart utilities infrastructure in the South Boston Dorchester planning area,6/8/2016,Grants,2016,Climate
,22-34911,"22-34911 - Grub Street, Inc.","Grub Street, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,6/27/2022,Grants,2022,Arts
,22-34912,"22-34912 - Huntington Theatre Company, Inc.","Huntington Theatre Company, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,6/27/2022,Grants,2022,Arts
,22-34913,"22-34913 - Isabella Stewart Gardner Museum, Inc.","Isabella Stewart Gardner Museum, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,6/27/2022,Grants,2022,Arts
,22-34914,"22-34914 - Rose Fitzgerald Kennedy Greenway Conservancy, Inc.","Rose Fitzgerald Kennedy Greenway Conservancy, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,6/27/2022,Grants,2022,Arts
,22-34915,"22-34915 - The Silk Road Project, Inc.","The Silk Road Project, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,6/27/2022,Grants,2022,Arts
,22-34916,"22-34916 - Theater Offensive, Inc.","Theater Offensive, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,6/27/2022,Grants,2022,Arts
,22-34917,"22-34917 - Celebrity Series of Boston, Inc.","Celebrity Series of Boston, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,6/27/2022,Grants,2022,Arts
,22-34946,22-34946 - Institute of Contemporary Art,Institute of Contemporary Art,"$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,6/27/2022,Grants,2022,Arts
,22-34947,"22-34947 - American Repertory Theatre Company, Inc.","American Repertory Theatre Company, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,8/29/2022,Grants,2022,Arts
,22-34948,"22-34948 - Jacob's Pillow Dance Festival, Inc.","Jacob's Pillow Dance Festival, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,7/21/2022,Grants,2022,Arts
,22-34949,"22-34949 - Massachusetts Museum of Contemporary Art Foundation, Inc.","Massachusetts Museum of Contemporary Art Foundation, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,7/21/2022,Grants,2022,Arts
,22-34950,22-34950 - Emerson College,Emerson College,"$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in ArtsEmerson?s leadership initiatives and organizational capacity,7/21/2022,Grants,2022,Arts
,22-34951,"22-34951 - World Music, Inc. d/b/a Global Arts Live","World Music, Inc. d/b/a Global Arts Live","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,7/21/2022,Grants,2022,Arts
,22-34953,"22-34953 - Yard, Inc.","Yard, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest change capital in organizational capacity and exploring leadership initiatives,7/21/2022,Grants,2022,Arts
,22-34952,"22-34952 - Peabody Essex Museum, Inc.","Peabody Essex Museum, Inc.","$320,000.00","$320,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in leadership initiatives and organizational capacity,8/29/2022,Grants,2022,Arts
,6195,"6195 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$325,000.00","$325,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support an economic analysis on the impact of MBTA services on the Boston metro region and a single-payment feasibility study for all transportation modes,12/2/2015,Grants,2015,Climate
,6741,"6741 - Huntington Theatre Company, Inc.","Huntington Theatre Company, Inc.","$325,000.00","$325,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"To support ongoing programmatic activities and general operations, and create a plan for the New Huntington complex",12/7/2016,Grants,2016,Arts
,6719,"6719 - Isabella Stewart Gardner Museum, Inc.","Isabella Stewart Gardner Museum, Inc.","$325,000.00","$325,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"To provide general operating support and risk capital for experiments in visitor experience, audience diversification, new curatorial models, and multidisciplinary programs",12/7/2016,Grants,2016,Arts
,6722,"6722 - American Repertory Theatre Company, Inc.","American Repertory Theatre Company, Inc.","$325,000.00","$325,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support salaries of core personnel and the hire of a new Director of Production who will oversee offsite and touring productions and renovation of the Loeb Drama Center,12/7/2016,Grants,2016,Arts
,16-01443,"16-01443 - Toxics Action Center, Inc.","Toxics Action Center, Inc.","$325,000.00","$325,000.00",Climate/Clean Energy/Support National and Local Networks,To support engagement of grassroots groups across New England to inform clean energy policies and programs,3/8/2017,Grants,2017,Climate
,21-09603,21-09603 - Trustees of Tufts College,Trustees of Tufts College,"$325,000.00","$325,000.00",Climate/Climate (Top Level),To support the Racial Equity in Policy and Planning Fellowship program,9/29/2021,Grants,2021,Climate
,21-09332,"21-09332 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$325,000.00","$325,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support polling and focus groups on transportation,6/30/2021,Grants,2021,Climate
,22-34886,"22-34886 - United States Artists, Inc.","United States Artists, Inc.","$325,000.00","$325,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support five New England 2023 United States Artists Fellows,6/27/2022,Grants,2022,Arts
,22-34892,22-34892 - UnboundEd Learning Inc.,UnboundEd Learning Inc.,"$325,000.00","$325,000.00",Education/Invest In Educators,To support UnboundEd?s partnership with Malden Public Schools,6/27/2022,Grants,2022,Education
,22-35062,"22-35062 - Teach Western Mass, Inc.","Teach Western Mass, Inc.","$325,000.00","$325,000.00",Education/Invest In Educators,To support general operations,11/1/2022,Grants,2022,Education
,6347,6347 - Urban Age Institute,Urban Age Institute,"$330,000.00","$330,000.00",Climate/Mobility/Develop Low-Carbon Communities,To support Meeting of the Minds conferences and networking that will advance mobility innovation in Boston,3/2/2016,Grants,2016,Climate
,6657,6657 - McCormack Graduate School,McCormack Graduate School,"$330,000.00","$330,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,Climate Ready Boston Phase II Support,9/21/2016,Grants,2016,Climate
,6792,"6792 - Conservation Law Foundation, Inc.","Conservation Law Foundation, Inc.","$330,000.00","$330,000.00",Waterfront - Special Initiatives/Waterfront,To advance waterfront advocacy efforts and to plan for a multi-year waterfront campaign,12/7/2016,Grants,2016,Waterfront
,22-35217,22-35217 - Digital Ready,Digital Ready,"$330,000.00","$330,000.00",Education/New Models,To support the implementation and sustainability planning of Digital Ready,11/29/2022,Grants,2022,Education
,19-07725,"19-07725 - Grub Street, Inc.","Grub Street, Inc.","$335,000.00","$335,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,to provide unrestricted general operating support,5/29/2019,Grants,2019,Arts
,22-35130,22-35130 - The Chisholm Legacy Project,The Chisholm Legacy Project,"$338,873.94","$338,873.94",Climate/Climate (Top Level),To support community-based leaders in New England to advance equity-centered climate solutions,11/29/2022,Grants,2022,Climate
,19-07878,19-07878 - Somerville Public Schools,Somerville Public Schools,"$343,675.31","$343,675.31",Education/New Models,For the implementation of a redesigned school model for Somerville High School as part of the Education Program? regional project aimed at nurturing the development of high school models that leverage the wider learning ecosystem,6/18/2019,Grants,2019,Education
,5041,5041 - Emerson College,Emerson College,"$350,000.00","$350,000.00",Arts and Creativity/Activate Public Support,Daniel Beaty: Catalyst for Change at the Elma Lewis Center,3/7/2014,Grants,2014,Arts
,6176,6176 - Chambers for Innovation and Clean Energy,Chambers for Innovation and Clean Energy,"$350,000.00","$350,000.00",Climate/Clean Energy,To educate local chambers of commerce in Connecticut and Massachusetts on clean-energy programs and policies,12/2/2015,Grants,2015,Climate
,5806,5806 - Conservation International Foundation,Conservation International Foundation,"$350,000.00","$350,000.00",Overcome Poverty Abroad/Sustainable Agriculture,Vital Signs: Extending Agricultural Ecosystems Monitoring to Kenya,3/2/2015,Global Grants,2015,Global
,6257,6257 - Boston Compact,Boston Compact,"$350,000.00","$350,000.00",Former Education Strategies,To support the planning of a unified school enrollment system in Boston.,3/2/2016,Grants,2016,Education
,6582,"6582 - Complete College America, Inc.","Complete College America, Inc.","$350,000.00","$350,000.00",Education/New Models,To support improvements to postsecondary remediation in New England,9/21/2016,Grants,2016,Education
,17-06353,"17-06353 - Environmental League of Massachusetts, Inc.","Environmental League of Massachusetts, Inc.","$350,000.00","$350,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To provide general operating support,9/27/2017,Grants,2017,Climate
,17-06489,17-06489 - Chambers for Innovation and Clean Energy,Chambers for Innovation and Clean Energy,"$350,000.00","$350,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To increase local chamber of commerce leadership in Massachusetts and Connecticut to advance clean energy policies,12/5/2017,Grants,2017,Climate
,17-06330,"17-06330 - Map Education, Inc.","Map Education, Inc.","$350,000.00","$350,000.00",Education/Special Initiatives,To support the refinement and planning for the launch of Map Academy as part of the Education Program?Äôs initiative to support models for students off-track to high school graduation,6/14/2017,Grants,2017,Education
,18-07017,"18-07017 - Community Labor United, Inc.","Community Labor United, Inc.","$350,000.00","$350,000.00",Climate/Mobility/Modernize the Region's Transportation System,to support transit justice advocacy,6/20/2018,Grants,2018,Climate
,19-08182,"19-08182 - Livable Streets Transportation Alliance of Boston, Inc.","Livable Streets Transportation Alliance of Boston, Inc.","$350,000.00","$350,000.00",Climate/Mobility/Modernize the Region's Transportation System,to accelerate BRT and better bus service throughout Greater Boston,12/3/2019,Grants,2019,Climate
,19-08098,19-08098 - ConnectEd The California Center for College and Career,ConnectEd The California Center for College and Career,"$350,000.00","$350,000.00",Education/New Models,To continue increasing the capacity of Boston and Holyoke Public Schools to implement high-quality college and career pathways,12/3/2019,Grants,2019,Education
,20-08872,"20-08872 - Massachusetts Advocates for Children, Inc.","Massachusetts Advocates for Children, Inc.","$350,000.00","$350,000.00",Education/Building Public Will,To support general operations,9/29/2020,Grants,2020,Education
,21-09515,21-09515 - Springpoint,Springpoint,"$350,000.00","$350,000.00",Education/Invest In Educators,To support a planning process for a Massachusetts Teacher Fellowship focused on instructional excellence in student-centered school design,6/30/2021,Grants,2021,Education
,21-09658,"21-09658 - Transcend, Inc.","Transcend, Inc.","$350,000.00","$350,000.00",Education/New Models,To support the Canopy Project research,9/28/2021,Grants,2021,Education
,21-09604,21-09604 - Massachusetts Association of School Superintendents,Massachusetts Association of School Superintendents,"$350,000.00","$350,000.00",Education/Invest In Educators,"To support Massachusetts Association of School Superintendents' (M.A.S.S) Racial Equity, Diversity, and Inclusion (REDI) project and the New Superintendent Induction Program (NSIP)",8/31/2021,Grants,2021,Education
,22-35129,"22-35129 - Environmental League of Massachusetts, Inc.","Environmental League of Massachusetts, Inc.","$350,000.00","$350,000.00",Climate/Clean Energy,To provide general operating support,11/1/2022,Grants,2022,Climate
,23-35696,23-35696 - Massachusetts Department of Elementary and Secondary Education,Massachusetts Department of Elementary and Secondary Education,"$350,000.00","$350,000.00",Education/Invest In Educators,To support the expansion of the Influence 100 initiative,8/30/2023,Grants,2023,Education
,23-35958,23-35958 - President and Fellows of Harvard College,President and Fellows of Harvard College,"$350,000.00","$350,000.00",Education/New Models,To support the Institute for Success Planning,11/29/2023,Grants,2023,Education
,23-35967,23-35967 - Digital Ready,Digital Ready,"$350,000.00","$350,000.00",Education/New Models,for general operating support.,11/29/2023,Grants,2023,Education
,23-35446,"23-35446 - Flourish Agenda, Inc.","Flourish Agenda, Inc.","$350,000.00","$350,000.00",Special Initiatives/Unassigned,to build and design a Four Pivots learning toolkit for the philanthropic field,6/7/2023,Grants,2023,SpecialInit
,20-09119,"20-09119 - Massachusetts Coalition for Occupational Safety and Health, Inc.","Massachusetts Coalition for Occupational Safety and Health, Inc.","$355,000.00","$355,000.00",Climate/Climate Resilience/Build Awareness of Climate Impacts,to develop and expand strategies to protect workers and students in Massachusetts from increased health and safety risks resulting from climate change,4/27/2021,Grants,2021,Climate
,23-35690,23-35690 - Mattapan Food and Fitness Coalition,Mattapan Food and Fitness Coalition,"$355,000.00","$355,000.00",Climate/Mobility/Develop Low-Carbon Communities,to support the Mattapan Food and Fitness Coalition,8/30/2023,Grants,2023,Climate
,23-36082,"23-36082 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$357,500.00","$357,500.00",Waterfront - Special Initiatives/Waterfront,To provide core support for the Coalition for a Resilient and Inclusive Waterfront,1/30/2024,Grants,2024,Waterfront
,6661,6661 - Sustainable Solutions Lab,Sustainable Solutions Lab,"$360,000.00","$360,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,To support a coastal protection feasibility analysis,12/7/2016,Grants,2016,Climate
,23-35840,"23-35840 - Jacob's Pillow Dance Festival, Inc.","Jacob's Pillow Dance Festival, Inc.","$360,000.00","$360,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35841,"23-35841 - Celebrity Series of Boston, Inc.","Celebrity Series of Boston, Inc.","$360,000.00","$360,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35842,23-35842 - Emerson College,Emerson College,"$360,000.00","$360,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support ArtsEmerson to invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35843,"23-35843 - Rose Fitzgerald Kennedy Greenway Conservancy, Inc.","Rose Fitzgerald Kennedy Greenway Conservancy, Inc.","$360,000.00","$360,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35844,"23-35844 - Grub Street, Inc.","Grub Street, Inc.","$360,000.00","$360,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35859,"23-35859 - The Silk Road Project, Inc.","The Silk Road Project, Inc.","$360,000.00","$360,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35860,"23-35860 - World Music, Inc.","World Music, Inc.","$360,000.00","$360,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35861,"23-35861 - Theater Offensive, Inc.","Theater Offensive, Inc.","$360,000.00","$360,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To invest risk capital in organizational and artistic leadership,11/29/2023,Grants,2023,Arts
,23-35693,"23-35693 - Project Evident, Inc.","Project Evident, Inc.","$360,078.00","$360,078.00",Sector Effectiveness/Learning and Evaluation,To provide technical assistance for evidence building in New England for Project Evident's Equitable Recovery Wallet Program,10/26/2021,Grants,2021,SectorEffect
,23-35856,23-35856 - Wheelock Educational Policy Center,Wheelock Educational Policy Center,"$370,000.00","$370,000.00",Education/Invest In Educators,To strengthen understanding of the school leadership pipeline in Massachusetts,10/31/2023,Grants,2023,Education
,19-07990,19-07990 - Woodrow Wilson Graduate School of Teaching and Learning,Woodrow Wilson Graduate School of Teaching and Learning,"$374,406.00","$374,406.00",Education/Invest In Educators,To support Woodrow Wilson Academy?Äôs final planning and launch of a new approach to teacher preparation,9/19/2018,Grants,2018,Education
,5943,5943 - Technical Development Corporation,Technical Development Corporation,"$375,000.00","$375,000.00","Arts and Creativity/Activate Public Support/Advocacy, Research, and Policy",City of Boston Cultural Planning,6/23/2015,Grants,2015,Arts
,5873,"5873 - Massachusetts Budget and Policy Center, Inc.","Massachusetts Budget and Policy Center, Inc.","$375,000.00","$375,000.00",Sector Effectiveness/Inform Sound Decision-Making/Support the Provision and Use of Credible Information,Core Operating Support,6/23/2015,Grants,2015,SectorEffect
,17-06669,"17-06669 - Theater Offensive, Inc.","Theater Offensive, Inc.","$375,000.00","$375,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,to provide unrestricted general operating support,3/22/2018,Grants,2018,Arts
,18-06957,"18-06957 - Massachusetts Budget and Policy Center, Inc.","Massachusetts Budget and Policy Center, Inc.","$375,000.00","$375,000.00",Sector Effectiveness/Inform Sound Decision-Making/Support the Provision and Use of Credible Information,to provide core operating support,6/20/2018,Grants,2018,SectorEffect
,19-07816,"19-07816 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$375,000.00","$375,000.00",Climate/Mobility/Modernize the Region's Transportation System,To engage business members in modernizing Massachusetts?Äô transportation system,5/29/2019,Grants,2019,Climate
,18-07613,"18-07613 - Environmental League of Massachusetts, Inc.","Environmental League of Massachusetts, Inc.","$375,000.00","$375,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To provide operating support,10/1/2019,Grants,2019,Climate
,18-07615,18-07615 - City of Providence,City of Providence,"$375,000.00","$375,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,"to leverage clean energy to drive equitable development in Providence, RI",8/29/2019,Grants,2019,Climate
,19-08018,"19-08018 - Massachusetts Nonprofit Network, Inc.","Massachusetts Nonprofit Network, Inc.","$375,000.00","$375,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,to provide general operating support,12/4/2019,Grants,2019,SectorEffect
,20-08486,"20-08486 - Applied Economics Clinic, Inc.","Applied Economics Clinic, Inc.","$375,000.00","$375,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support independent clean energy research and analysis in New England,3/31/2020,Grants,2020,Climate
,19-08430,19-08430 - Independent Sector,Independent Sector,"$375,000.00","$375,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,to provide core support,2/27/2020,Grants,2020,SectorEffect
,21-09337,21-09337 - Climate and Clean Energy Equity Fund,Climate and Clean Energy Equity Fund,"$375,000.00","$375,000.00",Climate/Clean Energy/Support National and Local Networks,To support grassroots and equity centered organizations to engage on clean energy in Pennsylvania,7/28/2021,Grants,2021,Climate
,22-35060,22-35060 - City of Providence,City of Providence,"$375,000.00","$375,000.00",Climate/Clean Energy,To support the Providence Sustainability Department's implementation of its Climate Justice Plan.,9/28/2022,Grants,2022,Climate
,22-35149,"22-35149 - Massachusetts Nonprofit Network, Inc.","Massachusetts Nonprofit Network, Inc.","$375,000.00","$375,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,To provide general operating support,11/29/2022,Grants,2022,SectorEffect
,22-35287,"22-35287 - Applied Economics Clinic, Inc.","Applied Economics Clinic, Inc.","$375,000.00","$375,000.00",Climate/Clean Energy,To support independent clean energy research and analysis in New England,1/31/2023,Grants,2023,Climate
,6258,"6258 - MASSCreative, Inc.","MASSCreative, Inc.","$385,000.00","$385,000.00","Arts and Creativity/Activate Public Support/Advocacy, Research, and Policy","To strengthen MASSCreative?Äôs administrative systems, staffing, and capacity for external partnerships and advocacy campaigns",3/2/2016,Grants,2016,Arts
,22-35120,"22-35120 - Great Schools Partnership, Inc.","Great Schools Partnership, Inc.","$395,000.00","$395,000.00",Education/Invest In Educators,To support Phase 2 of the Diversifying the Educator Workforce in New England initiative,9/28/2022,Grants,2022,Education
,20-09063,20-09063 - The Rhode Island Community Foundation,The Rhode Island Community Foundation,"$398,750.00","$398,750.00",Education/New Models,To launch the redesign of one Providence Public School District high school and engage in district-level instructional visioning and strategy development,11/30/2020,Grants,2020,Education
